AARON
JONAS
JONATAN
JONATHAN
JONE
JOSEF
JOSEPH
JOSHUA
JOSTEIN
JULIAN
JULIUS
JUSTIN
JØRGEN
KACPER
KAI
KAJUS
KAMIL
KARL
KAROL
KARSTEN
KASPER
KASPIAN
KENAN
KENNETH
KENT
KEVIN
KHALID
KIAN
KIM
KJELL
KJETIL
KNUT
KONRAD
KORNELIUS
KRISTIAN
KRISTOFFER
KRISTUPAS
KRYSTIAN
KÅRE
LARS
LASSE
LAURITS
LAURITZ
LAVRANS
LEANDER
LEIF
LENNOX
LEO
LEON
LEONARD
LEONARDO
LEONEL
LEVI
LIAM
LINUS
LIONEL
LOKE
LORIK
LOUIS
LUCA
LUCAS
LUDVIG
LUDVIK
LUDWIG
LUIS
LUKA
LUKAS
LYDER
MACIEJ
MADS
MAGNE
MAGNUS
MAHAMED
MAHDI
MAKSYMILIAN
MALIK
MALTE
MALVIN
MARCEL
MARCO
MARCUS
MARIO
MARIUS
MARK
MARKAS
MARKO
MARKUS
MARTIN
MARTINIUS
MARTINUS
MARVIN
MATAS
MATEO
MATEUSZ
MATHEO
MATHEUS
MATHIAS
MATHIS
MATIAS
MATS
MATTEO
MATTEUS
MATTHEW
MATTIAS
MATTIS
MAX
MAXIM
MAXIMILIAN
MAXIMILLIAN
MELVIN
MICHAEL
MICHAL
MIKA
MIKAEL
MIKAIL
MIKAL
MIKKEL
MIKOLAJ
MILAN
MILIAN
MILLIAN
MILO
MIO
MOHAMAD
MOHAMED
MOHAMMAD
MOHAMMED
MONS
MORGAN
MORTEN
MUHAMMAD
MUHAMMED
MUSAB
MUSTAFA
NATAN
NATANIEL
NATHAN
NATHANIEL
NEO
NICHLAS
NICHOLAS
NICKLAS
NICKOLAI
NICLAS
NICO
NICOLAI
NICOLAS
NICOLAY
NIKLAS
NIKODEM
NIKOLAI
NIKOLAS
NIKOLAY
NILS
NOA
NOAH
NOEL
NOJUS
ODD
ODIN
OLA
OLAF
OLAI
OLANDER
OLAV
OLE
OLIVER
OLIVIER
OLIWIER
OLVE
OMAR
OSCAR
OSKAR
OTTO
OWEN
PATRICK
PATRIK
PATRYK
PAUL
PEDER
PELLE
PER
PETER
PETTER
PHILIP
PHILLIP
PIOTR
PREBEN
PÅL
RAFAEL
RAGNAR
RASMUS
RAVN
RAYAN
REMI
RICHARD
RIDWAN
ROBERT
ROBIN
ROLF
RUBEN
RUNAR
RYAN
SAID
SAKARIAS
SALMAN
SAM
SAMIR
SAMSON
SAMUEL
SANDER
SCOTT
SEAN
SEBASTIAN
SELMER
SEVERIN
SIGMUND
SIGURD
SIGVE
SILAS
SIMEN
SIMON
SINDRE
SIVERT
SJUR
SNORRE
SOFUS
SOLAN
SONDRE
STEFAN
STEFFEN
STEIN
STEINAR
STEVEN
STIAN
STORM
STURLA
SUNE
SVEIN
SVEN
SVERRE
SYED
SYVER
SØLVE
SZYMON
TAGE
TAHA
TALLAK
TARIK
TARJEI
TELLEF
TEO
TEODOR
TERJE
THEO
THEODOR
THEODORE
THOMAS
THOR
THORBJØRN
THORVALD
TIAN
TIM
TIMIAN
TINIUS
TOBIAS
TOM
TOMAS
TOMMY
TONY
TOR
TORBEN
TORBJØRN
TORD
TORE
TORGEIR
TORJE
TORJUS
TORMOD
TORSTEIN
TRISTAN
TROND
TROY
TRULS
TRYGVE
TRYM
TYMON
ULRIK
VARG
VEBJØRN
VEGAR
VEGARD
VEMUND
VETLE
VICTOR
VIDAR
VIGGO
VIKTOR
VILHELM
VILJAR
VILMER
VINCENT
VINJAR
WALTER
WIKTOR
WILHELM
WILLIAM
WILMER
WOJCIECH
YAHYA
YASIN
YASIR
YOSEF
YOUSEF
YOUSSEF
YUSUF
ØRJAN
ØYSTEIN
ØYVIND
ÅDNE
ÅSMUND
ZAKARIA
ABIGAIL
ADA
ADELA
ADELE
ADELEN
ADELINA
ADINA
ADINE
ADNA
ADRIANA
AGATHE
AGNES
AGNETHE
AIDA
AILA
AILIN
AINA
AISHA
AIZA
ALBA
ALEA
ALEKSANDRA
ALETTE
ALEXANDRA
ALICE
ALICIA
ALICJA
ALIDA
ALINA
ALINE
ALISA
ALISE
ALISHA
ALIYA
ALMA
ALVA
ALVILDE
AMAL
AMALIA
AMALIE
AMANDA
AMELIA
AMELIE
AMELIJA
AMINA
AMINDA
AMINE
AMIRA
AMNA
AMY
ANA
ANASTASIA
ANDREA
ANDRINE
ANE
ANEA
ANETTE
ANGELA
ANGELICA
ANGELIKA
ANGELINA
ANINE
ANISA
ANITA
ANJA
ANN
ANNA
ANNABEL
ANNABELL
ANNABELLE
ANNE
ANNELI
ANNIE
ANNIKA
ANNIKEN
ANNY
ARIA
ARIANA
ARIANE
ARIEL
ARINA
ARSEMA
ARYA
ASTA
ASTRI
ASTRID
ATHENA
AUGUSTA
AURORA
AVA
AYA
AYLA
AYLIN
BEATRICE
BELLA
BENEDICTE
BENEDIKTE
BERTINE
BETINA
BETTINA
BIANCA
BUSHRA
CAMILLA
CARINA
CARLA
CARMEN
CAROLINE
CASSANDRA
CATHRINE
CECILIA
CECILIE
CELIA
CELIN
CELINA
CELINE
CHARLOTTE
CHLOE
CHRISTIANE
CHRISTINA
CHRISTINE
CINDY
CLARA
CORNELIA
DANIA
DANIELA
DANIELLA
DIANA
DINA
DORTHEA
EA
EBBA
EDDA
EDEL
EDITH
EILEEN
EIR
EIRA
EIRIL
EIRILL
EIRIN
EIVOR
ELA
ELEA
ELEAH
ELENA
ELI
ELIANA
ELIDA
ELIF
ELIN
ELINA
ELINE
ELINOR
ELISA
ELISABETH
ELISE
ELIZA
ELIZABETH
ELLA
ELLE
ELLEN
ELLI
ELLIE
ELLINOR
ELLY
ELMA
ELSA
ELSE
ELVINE
ELVIRA
EMA
EMBLA
EMELI
EMELIE
EMELY
EMILIA
EMILIE
EMILIJA
EMILY
EMINA
EMINE
EMMA
EMMELI
EMMELIN
EMMELINE
EMMI
EMMY
ENYA
ERICA
ERIKA
ERLE
ESTER
ESTHER
EVA
EVELINA
EVELYN
FANNY
FATIMA
FATMA
FELICIA
FILIPPA
FIONA
FREDRIKKE
FREJA
FREYA
FREYJA
FRIDA
FRIDE
FRÏYA
FRÏYDIS
GABIJA
GABRIELA
GABRIELE
GABRIELLA
GABRIELLE
GINA
GODA
GRETA
GUNHILD
GURO
HAFSA
HAILEY
HALA
HALIMA
HANA
HANAN
HANNA
HANNAH
HANNE
HEDDA
HEDVIG
HEIDI
HELEN
HELENA
HELENE
HELIN
HELLE
HELMINE
HENNIE
HENNY
HENRIETTE
HENRIKKE
HERMINE
HILDE
IBEN
IDA
IDUN
IDUNN
IMAN
INA
INAYA
INE
INES
INGA
INGEBJÏRG
INGEBORG
INGELIN
INGER
INGRID
INGVILD
IRENE
IRIS
IRMELIN
ISA
ISABEL
ISABELL
ISABELLA
ISABELLE
ISELIN
ISRA
JANA
JANNE
JASMIN
JASMINE
JENNIE
JENNIFER
JENNY
JESSICA
JOANNA
JOHANNA
JOHANNE
JOSEFINE
JOSEPHINE
JULIA
JULIANE
JULIANNE
JULIE
JUNE
JUNI
KAIA
KAISA
KAJA
KAJSA
KAMILA
KAMILE
KAMILLA
KAREN
KARI
KARIANNE
KARIN
KARINA
KARINE
KARLA
KAROLINA
KAROLINE
KATARINA
KATHARINA
KATHRINE
KATINKA
KATJA
KATRINE
KAYA
KAYLA
KHADIJA
KINE
KIRA
KJERSTI
KLARA
KLAUDIA
KONSTANSE
KORNELIA
KRISTIANE
KRISTIN
KRISTINA
KRISTINE
LAIBA
LAILA
LANA
LARA
LAURA
LEA
LEAH
LEANA
LEILA
LEJA
LENA
LENE
LENI
LEONA
LEONORA
LERKE
LIA
LIANA
LIEPA
LILIANA
LILJA
LILJE
LILLI
LILLIAN
LILLIE
LILLY
LILY
LINA
LINDA
LINDE
LINE
LINEA
LINN
LINNEA
LISA
LISE
LIV
LIVA
LIVE
LIVIA
LONE
LOTTA
LOTTE
LOUISA
LOUISE
LOVISE
LUCA
LUCIA
LUCY
LUKA
LUNA
LYCKE
LYDIA
LYKKE
LãRKE
MADELEINE
MADELEN
MADELENE
MAGDALENA
MAIA
MAIDA
MAIKEN
MAJA
MALAK
MALENA
MALENE
MALI
MALIN
MAREN
MARGIT
MARGRETE
MARGRETHE
MARI
MARIA
MARIAM
MARIANNE
MARIE
MARIEL
MARIELL
MARIELLE
MARINA
MARION
MARIT
MARITA
MARLENE
MARTA
MARTE
MARTHA
MARTHE
MARTHINE
MARTINA
MARTINE
MARTYNA
MARWA
MARY
MARYAM
MATHEA
MATHILDA
MATHILDE
MATILDA
MATILDE
MAUD
MAY
MAYA
MEDINA
MELINA
MELINDA
MELISA
MELISSA
MIA
MICHELLE
MIE
MIKAELA
MILA
MILANA
MILEAH
MILENA
MILIA
MILJA
MILLA
MILLE
MILLIE
MINA
MIRA
MIRIAM
MOA
MOLLY
MONA
MONIKA
MUNA
NADIA
NAJMA
NANNA
NAOMI
NATALIA
NATALIE
NATASHA
NATHALIE
NAWAL
NELA
NELIA
NELLIE
NELLY
NICOLE
NICOLINE
NIKOLA
NIKOLINE
NILA
NINA
NOELIA
NOELLE
NOOR
NORA
NORAH
NOVA
ODA
OLAVA
OLEA
OLINE
OLIVIA
OLIWIA
OTHELIA
OTHELIE
OTHILIE
OTILIE
PATRYCJA
PAULA
PAULINA
PAULINE
PERNILLE
PETRA
PIA
POLA
RACHEL
RAGNA
RAGNHILD
RAHAF
RAKEL
RANDI
RANIA
RAYAN
REBECCA
REBECKA
REBEKKA
REGINE
RIKKE
RONJA
ROSE
RUNA
RUTH
SABRIN
SABRINA
SAFA
SAFIYA
SAGA
SAHAR
SALMA
SAMANTHA
SAMIRA
SANA
SANDRA
SANNA
SANNAH
SANNE
SARA
SARAH
SAVANNAH
SELENA
SELIN
SELINA
SELINE
SELMA
SERINA
SERINE
SIDRA
SIENNA
SIGNE
SIGRID
SIGRUN
SIHAM
SILJA
SILJE
SIMONE
SINA
SINE
SIREN
SIRI
SIRIL
SOFIA
SOFIE
SOFIJA
SOL
SOLVEIG
SONIA
SONJA
SOPHIA
SOPHIE
STELLA
STINA
STINE
SUMAYA
SUNDUS
SUNNIVA
SUSANNA
SUSANNE
SYNNE
SYNNÏVE
TALE
TARA
TEA
TEJA
THALE
THEA
THELMA
THERESE
THILDE
TIA
TILDA
TILDE
TILIA
TILJE
TILLA
TINA
TINDRA
TINE
TIRIL
TIRILL
TOMINE
TONE
TONJE
TORA
TRINE
TUVA
TYRA
UGNE
ULLA
ULRIKKE
UNA
URTE
VALENTINA
VANESSA
VANJA
VEGA
VERA
VERONICA
VERONIKA
VESLEMÏY
VICTORIA
VIDA
VIKTORIA
VILDE
VILJA
VILJE
VILLEMO
VILMA
VIOLA
VIVIAN
VÅR
VÅRIN
WERONIKA
WIKTORIA
WILMA
YARA
YASMIN
YLVA
YUSRA
ÅSA
ÅSE
ÅSNE
ZAHRA
ZAINAB
ZARA
ZOE
ZOFIA
ZUZANNA

